分类,图片名称,建议路径,用途,所在页面/组件,优先级,状态,尺寸建议,备注
已有资源,yige-logo.png,/images/yige-logo.png,医格Logo,全局,高,已完成,200x200px,
已有资源,背景.png,/images/背景.png,背景图,首页,高,已完成,750x400px,
已有资源,tcm-header-bg.svg,/images/tcm-header-bg.svg,中医滋补头部背景,首页-滋补保健Tab,高,已完成,SVG矢量,
已有资源,chronic-header-bg.svg,/images/chronic-header-bg.svg,慢病关怀头部背景,首页-慢病关怀Tab,高,已完成,SVG矢量,
已有资源,jc01.png,/images/jc01.png,检测服务Banner背景,首页-做检测Tab,高,已完成,750x300px,
已有资源,商品1.jpeg,/images/商品1.jpeg,轮播图商品,首页-滋补/慢病Banner,中,已完成,400x400px,
已有资源,商品2.jpg,/images/商品2.jpg,轮播图商品,首页-滋补/慢病Banner,中,已完成,400x400px,
已有资源,zb01.jpeg,/images/zb01.jpeg,直播/专题图,首页,中,已完成,750x300px,
已有资源,mb01.jpg,/images/mb01.jpg,模板图,待确认,低,已完成,待定,
已有资源,mb02.png,/images/mb02.png,模板图,待确认,低,已完成,待定,
已有资源,mb03.png,/images/mb03.png,模板图,待确认,低,已完成,待定,
占位图,default-product.png,/images/default-product.png,商品默认占位图,DrugCard组件,高,待制作,400x400px,当商品无图片时显示
占位图,product-01.png,/images/product-01.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
占位图,product-02.png,/images/product-02.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
占位图,product-03.png,/images/product-03.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
占位图,product-04.png,/images/product-04.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
占位图,product-05.png,/images/product-05.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
占位图,product-06.png,/images/product-06.png,检测项目商品图,TestItemsSection,中,待制作,200x200px,
用户相关,default-avatar.png,/images/default-avatar.png,用户默认头像,用户中心/医生卡片,高,待制作,200x200px,当前使用Unsplash外链
分类Icon,category-cold.svg,/icons/category-cold.svg,感冒发烧分类图标,ServiceGridSection,中,待制作,64x64px,当前使用alicdn外链
分类Icon,category-cough.svg,/icons/category-cough.svg,咳嗽化痰分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-stomach.svg,/icons/category-stomach.svg,肠胃用药分类图标,ServiceGridSection,中,待制作,64x64px,
分类Icon,category-skin.svg,/icons/category-skin.svg,皮肤用药分类图标,ServiceGridSection,中,待制作,64x64px,
