分类,文件名/描述,用途,所在页面/模块,当前状态,建议路径,优先级,备注
已有资源,yige-logo.png,医格Logo,全局导航,已存在,/images/yige-logo.png,,品牌标识
已有资源,背景.png,页面背景,首页,已存在,/images/背景.png,,装饰背景
已有资源,tcm-header-bg.svg,中医滋补头部背景,首页-滋补保健Tab,已存在,/images/tcm-header-bg.svg,,SVG矢量图
已有资源,chronic-header-bg.svg,慢病关怀头部背景,首页-慢病关怀Tab,已存在,/images/chronic-header-bg.svg,,SVG矢量图
已有资源,jc01.png,检测服务Banner背景,首页-做检测Tab,已存在,/images/jc01.png,,Banner背景
已有资源,商品1.jpeg,轮播图商品展示,首页-滋补/慢病Banner,已存在,/images/商品1.jpeg,,示例商品图
已有资源,商品2.jpg,轮播图商品展示,首页-滋补/慢病Banner,已存在,/images/商品2.jpg,,示例商品图
已有资源,zb01.jpeg,直播/专题图,首页,已存在,/images/zb01.jpeg,,营销活动图
已有资源,mb01.jpg,模板图,待确认,已存在,/images/mb01.jpg,,需确认用途
已有资源,mb02.png,模板图,待确认,已存在,/images/mb02.png,,需确认用途
已有资源,mb03.png,模板图,待确认,已存在,/images/mb03.png,,需确认用途
需补充,default-product.png,商品默认占位图,药品卡片/列表,待创建,/images/default-product.png,高,无商品图时显示
需补充,product-01.png,检测项目商品图1,首页-检测服务,待创建,/images/product-01.png,中,检测套餐展示
需补充,product-02.png,检测项目商品图2,首页-检测服务,待创建,/images/product-02.png,中,检测套餐展示
需补充,product-03.png,检测项目商品图3,首页-检测服务,待创建,/images/product-03.png,中,检测套餐展示
需补充,product-04.png,检测项目商品图4,首页-检测服务,待创建,/images/product-04.png,中,检测套餐展示
需补充,product-05.png,检测项目商品图5,首页-检测服务,待创建,/images/product-05.png,中,检测套餐展示
需补充,product-06.png,检测项目商品图6,首页-检测服务,待创建,/images/product-06.png,中,检测套餐展示
需补充,default-avatar.png,用户默认头像,个人中心/医生卡片,待创建,/images/default-avatar.png,高,未上传头像时显示
需补充,default-doctor-avatar.png,医生默认头像,医生列表/详情,待创建,/images/default-doctor-avatar.png,高,医生未上传头像时显示
分类Icon,category-cold.svg,感冒发烧分类图标,首页-服务网格,待创建,/icons/category-cold.svg,中,替换alicdn外部链接
分类Icon,category-cough.svg,咳嗽化痰分类图标,首页-服务网格,待创建,/icons/category-cough.svg,中,替换alicdn外部链接
分类Icon,category-stomach.svg,肠胃用药分类图标,首页-服务网格,待创建,/icons/category-stomach.svg,中,替换alicdn外部链接
分类Icon,category-skin.svg,皮肤用药分类图标,首页-服务网格,待创建,/icons/category-skin.svg,中,替换alicdn外部链接
分类Icon,category-vitamin.svg,维生素钙分类图标,首页-服务网格,待创建,/icons/category-vitamin.svg,中,替换alicdn外部链接
分类Icon,category-pain.svg,止痛消炎分类图标,首页-服务网格,待创建,/icons/category-pain.svg,中,替换alicdn外部链接
分类Icon,category-five-sense.svg,五官用药分类图标,首页-服务网格,待创建,/icons/category-five-sense.svg,中,替换alicdn外部链接
分类Icon,category-child.svg,儿童用药分类图标,首页-服务网格,待创建,/icons/category-child.svg,中,替换alicdn外部链接
分类Icon,category-chronic.svg,慢病用药分类图标,首页-服务网格,待创建,/icons/category-chronic.svg,中,替换alicdn外部链接
分类Icon,category-device.svg,医疗器械分类图标,首页-服务网格,待创建,/icons/category-device.svg,中,替换alicdn外部链接
分类Icon,category-tcm.svg,中药饮片分类图标,首页-服务网格,待创建,/icons/category-tcm.svg,中,替换alicdn外部链接
分类Icon,category-men.svg,男科用药分类图标,首页-服务网格,待创建,/icons/category-men.svg,中,替换alicdn外部链接
分类Icon,category-women.svg,妇科用药分类图标,首页-服务网格,待创建,/icons/category-women.svg,中,替换alicdn外部链接
分类Icon,category-contraception.svg,避孕测孕分类图标,首页-服务网格,待创建,/icons/category-contraception.svg,中,替换alicdn外部链接
分类Icon,category-allergy.svg,过敏用药分类图标,首页-服务网格,待创建,/icons/category-allergy.svg,中,替换alicdn外部链接
分类Icon,category-liver.svg,肝胆用药分类图标,首页-服务网格,待创建,/icons/category-liver.svg,中,替换alicdn外部链接
分类Icon,category-heart.svg,心脑血管分类图标,首页-服务网格,待创建,/icons/category-heart.svg,中,替换alicdn外部链接
分类Icon,category-tonic.svg,滋补养生分类图标,首页-服务网格,待创建,/icons/category-tonic.svg,中,替换alicdn外部链接
分类Icon,category-oral.svg,口腔护理分类图标,首页-服务网格,待创建,/icons/category-oral.svg,中,替换alicdn外部链接
分类Icon,category-eye.svg,眼科用药分类图标,首页-服务网格,待创建,/icons/category-eye.svg,中,替换alicdn外部链接
慢病Icon,chronic-hypertension.svg,高血压图标,首页-慢病关怀Tab,待创建,/icons/chronic-hypertension.svg,中,慢病分类标签
慢病Icon,chronic-diabetes.svg,糖尿病图标,首页-慢病关怀Tab,待创建,/icons/chronic-diabetes.svg,中,慢病分类标签
慢病Icon,chronic-heart.svg,心脏病图标,首页-慢病关怀Tab,待创建,/icons/chronic-heart.svg,中,慢病分类标签
慢病Icon,chronic-lipid.svg,高血脂图标,首页-慢病关怀Tab,待创建,/icons/chronic-lipid.svg,中,慢病分类标签
慢病Icon,chronic-asthma.svg,哮喘/呼吸图标,首页-慢病关怀Tab,待创建,/icons/chronic-asthma.svg,中,慢病分类标签
慢病Icon,chronic-gout.svg,痛风图标,首页-慢病关怀Tab,待创建,/icons/chronic-gout.svg,中,慢病分类标签
慢病Icon,chronic-liver.svg,肝病图标,首页-慢病关怀Tab,待创建,/icons/chronic-liver.svg,中,慢病分类标签
慢病Icon,chronic-kidney.svg,肾病图标,首页-慢病关怀Tab,待创建,/icons/chronic-kidney.svg,中,慢病分类标签
慢病Icon,chronic-thyroid.svg,甲状腺图标,首页-慢病关怀Tab,待创建,/icons/chronic-thyroid.svg,中,慢病分类标签
慢病Icon,chronic-bone.svg,骨质疏松图标,首页-慢病关怀Tab,待创建,/icons/chronic-bone.svg,中,慢病分类标签
滋补Icon,tonic-ejiao.svg,东阿阿胶图标,首页-滋补保健Tab,待创建,/icons/tonic-ejiao.svg,中,滋补分类标签
滋补Icon,tonic-protein.svg,蛋白粉图标,首页-滋补保健Tab,待创建,/icons/tonic-protein.svg,中,滋补分类标签
滋补Icon,tonic-probiotic.svg,益生菌图标,首页-滋补保健Tab,待创建,/icons/tonic-probiotic.svg,中,滋补分类标签
滋补Icon,tonic-calcium.svg,钙铁锌图标,首页-滋补保健Tab,待创建,/icons/tonic-calcium.svg,中,滋补分类标签
滋补Icon,tonic-vitamin.svg,维生素图标,首页-滋补保健Tab,待创建,/icons/tonic-vitamin.svg,中,滋补分类标签
滋补Icon,tonic-fishoil.svg,鱼油/DHA图标,首页-滋补保健Tab,待创建,/icons/tonic-fishoil.svg,中,滋补分类标签
滋补Icon,tonic-melatonin.svg,褪黑素图标,首页-滋补保健Tab,待创建,/icons/tonic-melatonin.svg,中,滋补分类标签
滋补Icon,tonic-wolfberry.svg,枸杞/黄芪图标,首页-滋补
